,AlgName,Acc,Recall,Precision,F1,Set
72,IF,0.8965482690194847,0.1072459584295612,0.005224998417732646,0.009964527355511002,Train
73,IF,0.6214432998358406,0.48062351158259364,0.006166272710354616,0.012176326369425353,Test
74,LOF,0.9949949830713694,0.0,0.0,0.0,Train
75,LOF,0.006589498420412101,1.0,0.004862806531047109,0.00967854815491544,Test
76,KNN,0.9999992993116438,0.9998556581986143,1.0,0.9999278238902922,Train
77,KNN,0.9910941930439279,0.0,0.0,0.0,Test
78,IF,0.8977172953899745,0.22273913536820605,0.010857000636044356,0.02070478541066776,Train
79,IF,0.4352077558468332,0.49904351984696316,0.004289331546625671,0.008505556936695345,Test
80,LOF,0.9951180901118053,0.0,0.0,0.0,Train
81,LOF,0.008377326777265489,1.0,0.004871531130854545,0.009695828730210437,Test
82,KNN,1.0,1.0,1.0,1.0,Train
83,KNN,0.9892767431386479,0.0011956001912960307,0.0009869719699960521,0.0010813148788927334,Test
84,IF,0.8967805094099534,0.1670287231474777,0.008109264131154457,0.015467575647509151,Train
85,IF,0.5458019588366604,0.4171617161716172,0.004466441617059168,0.00883825435153504,Test
86,LOF,0.9951134092128728,0.0,0.0,0.0,Train
87,LOF,0.008227327587127645,1.0,0.004870797932081036,0.009694376515079609,Test
88,KNN,1.0,1.0,1.0,1.0,Train
89,KNN,0.9425048330075726,0.045324532453245324,0.004145036017545978,0.007595450104160907,Test
90,IF,0.8971722259449678,0.1908618397195697,0.009281247061036396,0.017701694497228155,Train
91,IF,0.5203275945619495,0.5723863918549789,0.005784176200310664,0.011452619445106924,Test
92,LOF,0.995113945352703,0.0,0.0,0.0,Train
93,LOF,0.006187602614391691,1.0,0.004860849580424307,0.009674672035344865,Test
94,KNN,1.0,1.0,1.0,1.0,Train
95,KNN,0.9900947729042555,0.04891979140799603,0.042975567190226875,0.04575542910231101,Test
96,IF,0.8969937756835958,0.18021745405561435,0.008757042335834677,0.016702485308411882,Train
97,IF,0.5262098473003717,0.4136933461909354,0.004246137400651272,0.00840599588517684,Test
98,LOF,0.9951213428754792,0.0,0.0,0.0,Train
99,LOF,0.007036962485137298,1.0,0.004864987221785009,0.009682867417314545,Test
100,KNN,1.0,1.0,1.0,1.0,Train
101,KNN,0.9890039415416015,0.0,0.0,0.0,Test
102,IF,0.8975221542568875,0.23213694091662065,0.011282634833390587,0.02151935667156363,Train
103,IF,0.5526819993240598,0.465564738292011,0.005056164495335491,0.010003686135020166,Test
104,LOF,0.9951166817667652,0.0,0.0,0.0,Train
105,LOF,0.006818972036014482,1.0,0.004863924613431886,0.00968076272676029,Test
106,KNN,1.0,1.0,1.0,1.0,Train
107,KNN,0.9873480046391865,0.0,0.0,0.0,Test
108,IF,0.8969500220047675,0.16134343101745144,0.007850886562700278,0.014973185774454932,Train
109,IF,0.542063492063492,0.6108843537414966,0.006460509118814375,0.012785799883722311,Test
110,LOF,0.9951189909135761,0.0,0.0,0.0,Train
111,LOF,0.007812121612399005,1.0,0.004868769548220139,0.009690358971767215,Test
112,KNN,1.0,1.0,1.0,1.0,Train
113,KNN,0.990847147920657,0.0,0.0,0.0,Test
114,IF,0.8966424726463128,0.12517634987815826,0.006093677809272879,0.011621607139667664,Train
115,IF,0.5895273352347479,0.3798219584569733,0.004504689452105415,0.008903780048808483,Test
116,LOF,0.995109520589821,0.0,0.0,0.0,Train
117,LOF,0.007381185599185657,1.0,0.004866666105066556,0.009686192744217685,Test
118,KNN,1.0,1.0,1.0,1.0,Train
119,KNN,0.9901784256671756,0.0,0.0,0.0,Test
120,IF,0.8960802614264513,0.0910089056972063,0.00442016448226009,0.008430855121518456,Train
121,IF,0.6021841487404023,0.5333333333333333,0.006502738162785212,0.012848815421097878,Test
122,LOF,0.9951124671469908,0.0,0.0,0.0,Train
123,LOF,0.006181864331493115,1.0,0.0048608216504173315,0.009674616714449576,Test
124,KNN,1.0,1.0,1.0,1.0,Train
125,KNN,0.9896567041055905,0.0,0.0,0.0,Test
126,IF,0.8970817616584789,0.19259012016021362,0.009355239690860941,0.01784370522322671,Train
127,IF,0.541898866194882,0.4149377593360996,0.004404919805987754,0.008717298025047704,Test
128,LOF,0.995115385778665,0.0,0.0,0.0,Train
129,LOF,0.005598526456198776,1.0,0.0048579840374125246,0.00966899624540706,Test
130,KNN,1.0,1.0,1.0,1.0,Train
131,KNN,0.9895773185262772,0.0,0.0,0.0,Test
132,IF,0.8967113821465501,0.15981518777396042,0.007759116530541815,0.014799699398247951,Train
133,IF,0.5991382914479491,0.4502392344497608,0.00545890160634416,0.010787016604669025,Test
134,LOF,0.9950662680881458,0.00011846937566639024,0.007142857142857143,0.0002330730684069456,Train
135,LOF,0.007078320248989641,1.0,0.004865188875245151,0.009683266828440543,Test
136,KNN,0.9999982747178301,0.9998815306243336,0.9997630893153281,0.9998223064621216,Train
137,KNN,0.9495552097366098,0.042344497607655504,0.004468455731993638,0.008083852846475304,Test
138,IF,0.8975501142980831,0.22933659597607395,0.011152686693463084,0.021270962047661077,Train
139,IF,0.5456842359227769,0.55315232397607,0.0059037328094302555,0.011682776651941703,Test
140,LOF,0.9951093354873111,0.0,0.0,0.0,Train
141,LOF,0.008282362087222264,1.0,0.0048710669160856165,0.009694909280321408,Test
142,KNN,1.0,1.0,1.0,1.0,Train
143,KNN,0.9509413856732449,0.07915324436263231,0.00854382435486675,0.015422896724876145,Test
144,IF,0.8970680207278575,0.19452965235173825,0.009446375372393248,0.018017804716355716,Train
145,IF,0.504840969168362,0.4283563362609787,0.004205365721465349,0.008328962295221946,Test
146,LOF,0.9951090247582742,0.0,0.0,0.0,Train
147,LOF,0.007022694327027323,1.0,0.004864917656538034,0.009682729630732035,Test
148,KNN,0.9999993795540731,1.0,0.9998722044728434,0.9999360981532366,Train
149,KNN,0.9868560499933001,0.0,0.0,0.0,Test
150,IF,0.8966906147278192,0.15799165234470905,0.007670347877393631,0.014630403273936398,Train
151,IF,0.4198771052373505,0.557150451887294,0.004657684624085296,0.009238139942834601,Test
152,LOF,0.9951158350396525,0.0,0.0,0.0,Train
153,LOF,0.006500880031794697,1.0,0.004862374886260236,0.009677693200147146,Test
154,KNN,1.0,1.0,1.0,1.0,Train
155,KNN,0.7985720774427979,0.21584263689526847,0.005273994401252249,0.010296401965446188,Test
156,IF,0.8967057826201431,0.14167578742551382,0.006890188726113519,0.013141271488516898,Train
157,IF,0.7165510761204977,0.39360751005811356,0.0067656087318997875,0.013302563444011768,Test
158,LOF,0.9951172947297953,0.0,0.0,0.0,Train
159,LOF,0.007167626545607632,1.0,0.004865624374668302,0.009684129413216218,Test
160,KNN,1.0,1.0,1.0,1.0,Train
161,KNN,0.991588943236217,0.014081358962896737,0.018507638072855465,0.015993907083015995,Test
162,IF,0.8978005849161221,0.26618141097424414,0.012930565528646343,0.024663049004451175,Train
163,IF,0.5540881289647802,0.5362997658079626,0.005833755792359054,0.011541960570848235,Test
164,LOF,0.9951168201437285,0.0,0.0,0.0,Train
165,LOF,0.007245174052431732,1.0,0.004866002595961104,0.009684878547767204,Test
166,KNN,1.0,1.0,1.0,1.0,Train
167,KNN,0.9306700620722584,0.060187353629976584,0.004490808695044384,0.008357995381963641,Test
168,IF,0.896165664491866,0.08223605458463011,0.004000908503240911,0.007630577846888624,Train
169,IF,0.6601142481017419,0.3837772397094431,0.005499500360850497,0.010843612530700764,Test
170,LOF,0.9951171579918695,0.0,0.0,0.0,Train
171,LOF,0.0065434072263099744,1.0,0.00486258201927843,0.009678103466659167,Test
172,KNN,1.0,1.0,1.0,1.0,Train
173,KNN,0.9902219140083218,0.0029055690072639223,0.0028483266081177306,0.002876663070837828,Test
