,AlgName,Acc,Recall,Precision,F1,Set
131,IF,0.7696892294593444,0.289002557544757,0.300531914893617,0.2946544980443286,Test
132,LOF,0.6026954177897574,0.6026954177897574,0.6026954177897574,0.6026954177897574,Train
133,LOF,0.8731375053214133,0.4194373401534527,0.6978723404255319,0.5239616613418531,Test
134,KNN,0.9669362084456424,0.9338724168912849,1.0,0.9658056123397138,Train
135,KNN,0.3716475095785441,0.5728900255754475,0.1461187214611872,0.23284823284823286,Test
136,DBSCAN,0.5,1.0,0.5,0.6666666666666666,Train
137,DBSCAN,0.16645381013197105,1.0,0.16645381013197105,0.2854014598540146,Test
138,SVM,0.9237196765498652,0.9243486073674753,0.9231873653984207,0.92376762144204,Train
139,SVM,0.2720306513409962,0.7698209718670077,0.1566892243623113,0.2603806228373703,Test
140,IF,0.4406265790803436,0.4406265790803436,0.4406265790803436,0.44062657908034364,Train
141,IF,0.7931034482758621,0.3605015673981191,0.3745928338762215,0.3674121405750799,Test
142,LOF,0.5607209028128685,0.5607209028128685,0.5607209028128685,0.5607209028128685,Train
143,LOF,0.890282131661442,0.4702194357366771,0.7853403141361257,0.5882352941176471,Test
144,KNN,0.9818932120599629,0.9637864241199259,1.0,0.9815593104039797,Train
145,KNN,0.6489028213166145,0.4106583072100313,0.21300813008130082,0.28051391862955033,Test
146,DBSCAN,0.5,1.0,0.5,0.6666666666666666,Train
147,DBSCAN,0.16666666666666666,1.0,0.16666666666666666,0.2857142857142857,Test
148,SVM,0.921340744483746,0.9093818426814889,0.9316652286453839,0.9203886805318785,Train
149,SVM,0.5626959247648903,0.6112852664576802,0.21475770925110133,0.31784841075794623,Test
150,IF,0.5159620362381363,0.5159620362381363,0.5159620362381363,0.5159620362381363,Train
151,IF,0.7570019723865877,0.25118483412322273,0.26108374384236455,0.25603864734299514,Test
152,LOF,0.5872303710094909,0.5872303710094909,0.5872303710094909,0.5872303710094909,Train
153,LOF,0.8808678500986193,0.4431279620853081,0.7362204724409449,0.5532544378698225,Test
154,KNN,0.9617773943054357,0.9235547886108715,1.0,0.9602583654795013,Train
