,AccTrain,PrecTrain,RecTrain,F1Train,AccTest,PrecTest,RecTest,F1Test
0,0.821192599933928,0.7983734847322388,0.8594317806408985,0.8277782197120356,0.7636428065201984,0.3928182807399347,0.7680851063829788,0.5197984161267099
1,0.8033647854726722,0.8039600428112736,0.8023856150970269,0.8031720573821617,0.7954464603344006,0.43954802259887005,0.8311965811965812,0.5750184774575018
2,0.8052431610942249,0.8105767743930725,0.7966565349544072,0.803556373112593,0.8081494057724957,0.4603174603174603,0.8877551020408163,0.6062717770034843
3,0.7793305728088337,0.7924494219653179,0.7569013112491373,0.7742675608895163,0.81256038647343,0.46234676007005254,0.7652173913043478,0.576419213973799
4,0.8361892784153435,0.8117801428779705,0.8753340669706021,0.8423600605143722,0.7045908183632734,0.35172413793103446,0.9161676646706587,0.5083056478405316
5,0.7969272408852094,0.7967854869509866,0.7971660563604521,0.7969757262236371,0.7328320802005013,0.36400541271989173,0.8102409638554217,0.5023342670401494
6,0.8058236545067888,0.8203941730934019,0.7830852282021921,0.8013056578506864,0.7909747292418773,0.43042452830188677,0.7917570498915402,0.5576776165011459
7,0.7796362455342644,0.7698213726104669,0.7978239688210458,0.7835725677830941,0.7505188875051889,0.3850574712643678,0.8354114713216958,0.5271439811172305
8,0.8261159862647844,0.8529836877968201,0.7880579931323922,0.8192364898363906,0.797215777262181,0.44412607449856734,0.8635097493036211,0.586565752128666
9,0.7785633024540874,0.7722363405336722,0.7901836502519096,0.7811069162181702,0.7615558060879368,0.39403973509933776,0.8067796610169492,0.5294771968854283
10,0.7629957339232106,0.7563529955336517,0.7759519671354085,0.7660271408516611,0.8366375892149088,0.5054945054945055,0.8761904761904762,0.6411149825783972
11,0.7960028173974292,0.7964726631393299,0.7952104243704877,0.7958410432637237,0.77431906614786,0.39482758620689656,0.6695906432748538,0.4967462039045554
12,0.8205147730734085,0.8155645524066577,0.8283582089552238,0.821911598035512,0.816986301369863,0.4713740458015267,0.8125,0.5966183574879227
13,0.7806828391734052,0.7736510161177295,0.7935309973045822,0.7834649161713829,0.8361004682843763,0.504885993485342,0.7928388746803069,0.6169154228855722
14,0.8212059962944248,0.8159377070907886,0.8295435405086744,0.8226843731729725,0.7784743991640544,0.40641711229946526,0.7147335423197492,0.5181818181818182
15,0.7640207075064711,0.7416298168035376,0.8103537532355479,0.7744701904840438,0.7412228796844181,0.36613272311212813,0.7582938388625592,0.49382716049382713
16,0.7993858751279427,0.7703826955074875,0.8530194472876151,0.8095978239751311,0.802510460251046,0.4509283819628647,0.8542713567839196,0.5902777777777778
17,0.7715105162523901,0.7845691382765531,0.748565965583174,0.7661448140900196,0.8125,0.4668304668304668,0.8857808857808858,0.6114239742558326
18,0.8005590900327743,0.7611390284757119,0.8760362444572971,0.8145558841982612,0.720616570327553,0.3664383561643836,0.9277456647398844,0.5253682487725041
19,0.810744714420953,0.7951446126180128,0.8371726096560429,0.8156175543770655,0.7928429423459245,0.4252199413489736,0.6921241050119332,0.5267938237965486
20,0.7205806562446315,0.7533543804262036,0.655901047929909,0.7012581504270364,0.7627789776817855,0.39552238805970147,0.8012958963282938,0.5296216987865809
21,0.806883537023724,0.7873128049806495,0.840941768511862,0.813244112279482,0.8307123034227567,0.4954128440366973,0.9,0.6390532544378699
22,0.8230080409356725,0.8209551479934629,0.8262061403508771,0.8235722743419256,0.8107993197278912,0.4597875569044006,0.7729591836734694,0.576593720266413
23,0.7847928779069767,0.7719937532535138,0.8083212209302325,0.7897399485222331,0.7453531598513011,0.35778443113772457,0.6675977653631285,0.46588693957115007
24,0.7810514612452351,0.7728604471858134,0.7960609911054638,0.7842891792504499,0.7692633361558001,0.3972972972972973,0.7480916030534351,0.5189761694616063
25,0.7770052569102933,0.8288705456009664,0.6981516025097507,0.7579160530191459,0.809323519102699,0.45442536327608984,0.7242105263157895,0.5584415584415585
26,0.753109558698245,0.7573185518794388,0.7449309933549156,0.7510736986772032,0.7968984492246123,0.445440956651719,0.8948948948948949,0.594810379241517
27,0.7788031863221294,0.7871148459383753,0.764328735185545,0.7755544603252834,0.7589126559714795,0.38998682476943347,0.7914438502673797,0.5225066195939982
28,0.7643398268398268,0.7810162991371045,0.7346681096681097,0.7571335625987545,0.763681592039801,0.40497737556561086,0.8905472636815921,0.5567651632970451
29,0.7924385633270321,0.777041547277937,0.820226843100189,0.798050395438661,0.7323321554770318,0.3570536828963795,0.7586206896551724,0.4855687606112054
30,0.8354667499219481,0.8010647240123284,0.8926006868560724,0.8443591258121678,0.7819383259911894,0.42547770700636944,0.8835978835978836,0.5743766122098023
31,0.779825327510917,0.7679826028772164,0.8019213973799126,0.7845851491070664,0.764030612244898,0.4019253910950662,0.8520408163265306,0.5461978740801308
32,0.7460587326120557,0.7835767723548273,0.6799072642967543,0.7280701754385965,0.7630351844001696,0.36741214057507987,0.5852417302798982,0.45142296368989204
33,0.8194105194593715,0.8160141775414854,0.8247842370949356,0.8203757693553613,0.7836113837095191,0.425,0.8525073746312685,0.5672227674190383
34,0.7929375639713409,0.8021537162162162,0.7776867963152507,0.7897307972144267,0.8180999549752364,0.47368421052631576,0.827027027027027,0.6023622047244094
