,Error,Stock,Method,iSimul
158,2.0584601297445824,S18,Ano,1
159,2.1627401744605383,S19,Ano,1
160,0.23610495357682987,S0,BF,2
161,0.056739425189177004,S1,BF,2
162,0.1471778031224016,S2,BF,2
163,0.2335482137531582,S3,BF,2
164,0.09742327633427209,S4,BF,2
165,0.14313426703113563,S5,BF,2
166,0.12541075437618174,S6,BF,2
167,0.09878625049032802,S7,BF,2
168,0.11801337508933948,S8,BF,2
169,0.15606598375880132,S9,BF,2
170,0.08302606461383062,S10,BF,2
171,0.29122914690765495,S11,BF,2
172,0.13652824649501144,S12,BF,2
173,0.023303310869062975,S13,BF,2
174,0.07634429861485321,S14,BF,2
175,0.250860633766417,S15,BF,2
176,0.14798277191717718,S16,BF,2
177,0.06697235255143054,S17,BF,2
178,0.16504724071613625,S18,BF,2
179,0.03539852517883712,S19,BF,2
180,0.25064955123393506,S0,PCA,2
181,0.43743220338900723,S1,PCA,2
182,0.24127747808213865,S2,PCA,2
183,0.5078714287286921,S3,PCA,2
184,0.2846266667520622,S4,PCA,2
185,0.26647935820734364,S5,PCA,2
186,0.35769591972865705,S6,PCA,2
187,0.2919727516887462,S7,PCA,2
188,0.27389164666039706,S8,PCA,2
189,0.17723167371441717,S9,PCA,2
190,0.24971066980964615,S10,PCA,2
191,0.400874116483477,S11,PCA,2
192,0.26388297760662355,S12,PCA,2
193,0.22047847939614387,S13,PCA,2
194,0.21834972730174432,S14,PCA,2
195,0.3559662575893628,S15,PCA,2
196,0.1420942982599772,S16,PCA,2
197,0.20900465354822653,S17,PCA,2
198,0.1285762584733074,S18,PCA,2
199,0.21051987603056424,S19,PCA,2
200,0.08189737653506927,S0,Linear,2
201,0.036735030735715414,S1,Linear,2
202,0.0734569334630628,S2,Linear,2
203,0.11365877383388714,S3,Linear,2
204,0.11447129032155678,S4,Linear,2
205,0.10246540653896806,S5,Linear,2
206,0.11894116756767485,S6,Linear,2
207,0.07872150683541636,S7,Linear,2
208,0.1145524046384805,S8,Linear,2
209,0.12165022094603717,S9,Linear,2
210,0.040890456601805666,S10,Linear,2
211,0.19570688908231607,S11,Linear,2
212,0.12746342337184569,S12,Linear,2
213,0.021801359256746148,S13,Linear,2
214,0.05947538408333862,S14,Linear,2
215,0.19323216001533822,S15,Linear,2
216,0.1935414130270679,S16,Linear,2
217,0.04358128261754271,S17,Linear,2
218,0.08041976278832129,S18,Linear,2
219,0.034101091254184375,S19,Linear,2
220,2.7651708176541896,S0,Ano,2
221,3.0429404874739903,S1,Ano,2
222,1.5780287233159929,S2,Ano,2
223,3.1198264383365246,S3,Ano,2
224,2.225214175981166,S4,Ano,2
225,2.4477370935325538,S5,Ano,2
226,1.6546180872924487,S6,Ano,2
227,2.222532895053162,S7,Ano,2
228,2.3396761084324345,S8,Ano,2
229,2.7338734897867334,S9,Ano,2
230,2.812068677757236,S10,Ano,2
231,2.695553878503584,S11,Ano,2
232,2.0475117185914864,S12,Ano,2
233,2.2455836624702274,S13,Ano,2
234,1.4847590507687705,S14,Ano,2
235,2.7688566996499184,S15,Ano,2
236,2.748037899494451,S16,Ano,2
237,2.196544388565488,S17,Ano,2
238,2.1432633169631936,S18,Ano,2
239,2.343185073780925,S19,Ano,2
240,0.15894888162956214,S0,BF,3
241,0.034239621844940664,S1,BF,3
242,0.22541920881595165,S2,BF,3
243,0.3112367475951164,S3,BF,3
244,0.1460621652286962,S4,BF,3
245,0.20244328812548734,S5,BF,3
246,0.17143520353003666,S6,BF,3
247,0.09766552929995581,S7,BF,3
248,0.09019019288940656,S8,BF,3
249,0.10990675454302927,S9,BF,3
250,0.07799603792121775,S10,BF,3
251,0.17954357782612732,S11,BF,3
252,0.13604891863985483,S12,BF,3
253,0.03129022898470707,S13,BF,3
254,0.03294633574437296,S14,BF,3
255,0.19814662627202012,S15,BF,3
256,0.2707604742266114,S16,BF,3
257,0.05240148301966864,S17,BF,3
258,0.18672594776085424,S18,BF,3
259,0.060889147028443315,S19,BF,3
260,0.25398715880744205,S0,PCA,3
261,0.3211100368875672,S1,PCA,3
262,0.2833423578501858,S2,PCA,3
263,0.2643547872983535,S3,PCA,3
264,0.45233961198716754,S4,PCA,3
265,0.23669573139362454,S5,PCA,3
266,0.33434940038064886,S6,PCA,3
267,0.19226814148970478,S7,PCA,3
268,0.22526399982293918,S8,PCA,3
269,0.28270314202199415,S9,PCA,3
270,0.23026378594398758,S10,PCA,3
271,0.3491362462270604,S11,PCA,3
272,0.1938723828786517,S12,PCA,3
273,0.2376591338866436,S13,PCA,3
