,Error,Method,iSimul
147,0.0017463983236364444,Linear,29
148,0.0017534243960289782,BF,29
149,0.001741451726593647,Clean,29
150,0.004582466701157035,Ano,30
151,0.0014637842404083507,PCA,30
152,0.0014141235771740202,Linear,30
153,0.0014304500005675382,BF,30
154,0.0013872712382016347,Clean,30
155,0.0038094089463225045,Ano,31
156,0.0014056395881019098,PCA,31
157,0.0013670767139077186,Linear,31
158,0.0013437731640894173,BF,31
159,0.001380983519459035,Clean,31
160,0.003520854923517227,Ano,32
161,0.0015760551154718934,PCA,32
162,0.0015306971926746403,Linear,32
163,0.0015294567887367465,BF,32
164,0.001534003277517306,Clean,32
165,0.004441779333869142,Ano,33
166,0.0015957730726600414,PCA,33
167,0.0016125235098181131,Linear,33
168,0.0016135041947132093,BF,33
169,0.0016190566322359533,Clean,33
170,0.004269534108074757,Ano,34
171,0.0013447281600713805,PCA,34
172,0.0012809422465404007,Linear,34
173,0.001276289803865331,BF,34
174,0.001279525838308236,Clean,34
175,0.0042044001539464975,Ano,35
176,0.0018232409572579952,PCA,35
177,0.0018013526016887988,Linear,35
178,0.0017874797325593984,BF,35
179,0.0018177143152661476,Clean,35
180,0.004205710824421759,Ano,36
181,0.0014342702075943908,PCA,36
182,0.0013958157483577858,Linear,36
183,0.0014101363396849171,BF,36
184,0.001397067840595028,Clean,36
185,0.004104079714794231,Ano,37
186,0.0018748173192803285,PCA,37
187,0.0019169340631424966,Linear,37
188,0.0019070487642031224,BF,37
189,0.0019189730184254422,Clean,37
190,0.004167489879479762,Ano,38
191,0.0012674669507432212,PCA,38
192,0.0012567318262379358,Linear,38
193,0.0012598063743648408,BF,38
194,0.0012529488448066654,Clean,38
195,0.004624400243063317,Ano,39
196,0.0015588031925539703,PCA,39
197,0.0015400514177272152,Linear,39
198,0.0015437393957769374,BF,39
199,0.0015389883044886047,Clean,39
200,0.0049693165693327395,Ano,40
201,0.0014812730518055943,PCA,40
202,0.0014287857196134568,Linear,40
203,0.0014118020226887536,BF,40
204,0.0014253489953154545,Clean,40
205,0.003675624796357997,Ano,41
206,0.0016684461609995272,PCA,41
207,0.0016228288808015567,Linear,41
208,0.0015987885110197958,BF,41
209,0.001596389233118439,Clean,41
210,0.004781482088165154,Ano,42
211,0.0017957665666718935,PCA,42
212,0.0018035841172906225,Linear,42
213,0.0018139568637889297,BF,42
214,0.0018040202296419376,Clean,42
215,0.004241884868379616,Ano,43
216,0.0019669377848204076,PCA,43
217,0.0019253923581272609,Linear,43
218,0.001939188904771168,BF,43
219,0.0019344665494070395,Clean,43
220,0.0036801874204812138,Ano,44
221,0.001536651005908996,PCA,44
222,0.0015507450488059296,Linear,44
223,0.0015663266809032852,BF,44
224,0.0015550742652983467,Clean,44
225,0.004120359173042763,Ano,45
226,0.0012002043440160412,PCA,45
227,0.0011658724368185942,Linear,45
228,0.0011673530938120437,BF,45
229,0.001166719838817587,Clean,45
230,0.00413083953514869,Ano,46
231,0.00146222719271417,PCA,46
232,0.0014595493651789943,Linear,46
233,0.0014848752353639005,BF,46
234,0.0014412271259521957,Clean,46
235,0.0045316821705722096,Ano,47
236,0.00148275979344984,PCA,47
237,0.0013829258254516043,Linear,47
238,0.0013844609132922466,BF,47
239,0.0013730546065353988,Clean,47
240,0.00398584557374976,Ano,48
241,0.0016012335466432989,PCA,48
242,0.0015250249787342551,Linear,48
243,0.0015338428122729894,BF,48
244,0.0015232571985984544,Clean,48
245,0.003957206878157605,Ano,49
246,0.0013760032232167855,PCA,49
247,0.0014101517817361898,Linear,49
248,0.0014029294102319055,BF,49
249,0.0014008687235164212,Clean,49
250,0.004196270230038557,Ano,50
251,0.0014992783334764341,PCA,50
252,0.0015446658656527315,Linear,50
253,0.0015322329888900754,BF,50
