,Theo,Clean,Ano,BFTrue,BFPred
0,0.0,0.06188545359428502,0.21413620111288476,0.06967711563890948,0.07124247525201563
1,0.0,0.07821894239023554,0.2101279022307785,0.08672624893958229,0.07934327130095455
2,0.0,0.0767684983921797,0.2064127910194962,0.07746615158405351,0.07898629542650044
3,0.0,0.08123132959189173,0.24049331950413438,0.08713412776876765,0.08606499057636649
4,0.0,0.07847978397120464,0.21522798984672326,0.08120497694363217,0.08149395769256267
5,0.0,0.07802127386048963,0.21519728006396463,0.08662109347363478,0.08246759749893326
6,0.0,0.08901211551539734,0.198232510086409,0.08999633020530941,0.08963841857909793
7,0.0,0.07648806809749381,0.2074799386236543,0.0898030812402506,0.08023713314783976
8,0.0,0.08098609718463501,0.1921836764929074,0.0864556603940579,0.0835527946581423
9,0.0,0.0842130229915997,0.20226230199153047,0.09106010243400511,0.09355103417788409
10,0.0,0.07575543872247975,0.21690294901352178,0.07940514873371948,0.07874955248784526
11,0.0,0.07435430172596803,0.20788586393554498,0.07673967189962055,0.0784061893477599
12,0.0,0.0753939475794108,0.20598252390910882,0.08403624878220879,0.07593188857608851
13,0.0,0.09554506854121429,0.19801336934582947,0.09386683251005924,0.0925607489945583
14,0.0,0.07795784652003318,0.22783351298933108,0.0943046582543458,0.08880493935124054
15,0.0,0.0755267519031405,0.21623744005493475,0.07692109760033242,0.07766402870741153
16,0.0,0.0836029469689949,0.21332967960103347,0.1085926741342535,0.10194353007952087
17,0.0,0.0735761605472024,0.2010445826451726,0.08089081095111099,0.07114025026711908
18,0.0,0.07505734725400565,0.19734329698243797,0.07740655577612043,0.07756406575702858
19,0.0,0.07831704896005143,0.21339760286293777,0.08172177656680586,0.08600313656931723
20,0.0,0.08542314506645561,0.19583275045242032,0.08405617071466166,0.08368855438113405
21,0.0,0.060658708448423165,0.20844613162718523,0.06116590809935314,0.06403152417653443
22,0.0,0.06266176150153492,0.21851500165837315,0.07094386748359331,0.06138816905065546
23,0.0,0.08881426368299326,0.20114370164026987,0.08607987460695281,0.08646677631263998
24,0.0,0.0834201657662648,0.1935668774365222,0.08109693511709934,0.0790053652269344
25,0.0,0.07194507065163368,0.17277634437963374,0.07229085000012121,0.0732180150012159
26,0.0,0.07156625836606446,0.20009312330311782,0.07216917464619323,0.07372212925264537
