,Theo,Clean,Ano,BFTrue,BFPred,AnoNumber
0,-0.5468505162350134,-0.5542194578823646,-0.5681288658263118,-0.5572926572022924,-0.5617821318993645,5.0
1,-0.5468505162350134,-0.5464821933232463,-0.5654240414897518,-0.5526682315801337,-0.5537305381481712,5.0
2,-0.5468505162350134,-0.5345037115454591,-0.5399074895271081,-0.5347734911497068,-0.5391329520306849,5.0
3,-0.5468505162350134,-0.5403129027022788,-0.5607313164360769,-0.5437153889047867,-0.5434856596343283,5.0
4,-0.5468505162350134,-0.5499676987509745,-0.5678910790578462,-0.5387063975872236,-0.5391151805447034,5.0
5,-0.5468505162350134,-0.5545942967413731,-0.5678352556456814,-0.5557100083209304,-0.5544516397347732,5.0
6,-0.5468505162350134,-0.5449795701594079,-0.5676163891959086,-0.5465024916506026,-0.5500333532382508,5.0
7,-0.5468505162350134,-0.5537439801137135,-0.5815789909046205,-0.5532645961002891,-0.5543328010053667,5.0
8,-0.5468505162350134,-0.5490998535525315,-0.5733300378578837,-0.5539829496433558,-0.5516986122729984,5.0
9,-0.5468505162350134,-0.5589146517500808,-0.5751091544111195,-0.5654837278762019,-0.5647969642109206,5.0
10,-0.5468505162350134,-0.5384806086673517,-0.5520752221721534,-0.5449842557425643,-0.5459401786977413,5.0
11,-0.5468505162350134,-0.5547360235729948,-0.5729262573042192,-0.5493187261884797,-0.5549634445325198,5.0
12,-0.5468505162350134,-0.5341164853276718,-0.5416209635277864,-0.5302170457732563,-0.53106610471882,5.0
13,-0.5468505162350134,-0.53121906991487,-0.5728243395129669,-0.5319728207755202,-0.5318475031904093,5.0
14,-0.5468505162350134,-0.5668434014266176,-0.6005826068775576,-0.5703660512734767,-0.5661585359346427,5.0
15,-0.5468505162350134,-0.5239996906630123,-0.5475517706169574,-0.521960969443568,-0.5260179646560567,5.0
16,-0.5468505162350134,-0.5485350756315025,-0.5722336599913694,-0.5489317262367334,-0.5436176408163789,5.0
17,-0.5468505162350134,-0.5433236315856879,-0.5663689216857495,-0.5495409338907922,-0.5484817097897434,5.0
18,-0.5468505162350134,-0.5610944882828903,-0.5780583141172735,-0.5618042349501794,-0.562268820570509,5.0
19,-0.5468505162350134,-0.5487709953025992,-0.5720003225834696,-0.5483451147760265,-0.5521160056987267,5.0
20,-0.5468505162350134,-0.5402333043655327,-0.5617497720725708,-0.5447463241865831,-0.5436026191246003,5.0
21,-0.5468505162350134,-0.5428570095158608,-0.5771577725213737,-0.5438639947280823,-0.5437426164662894,5.0
22,-0.5468505162350134,-0.564285326591007,-0.5706174071592265,-0.571430905364563,-0.5626296877603039,5.0
23,-0.5468505162350134,-0.5519818900366019,-0.5932469946698549,-0.5559740495603356,-0.5552048335743529,5.0
24,-0.5468505162350134,-0.540003542827789,-0.5620912082045834,-0.5386345082980616,-0.5388279314458716,5.0
25,-0.5468505162350134,-0.5463322843969028,-0.5562232446313388,-0.5484445864326658,-0.5450814979217675,5.0
26,-0.5468505162350134,-0.5507744026569124,-0.564429359170384,-0.5485808116947051,-0.5492314459007647,5.0
27,-0.5468505162350134,-0.553213267734466,-0.5521308497965853,-0.5533461856971713,-0.5500244890937238,5.0
28,-0.5468505162350134,-0.5473044353564503,-0.5784155221756831,-0.5590738647563136,-0.5560008406475796,5.0
29,-0.5468505162350134,-0.5450614390235444,-0.5706029601389527,-0.5374749732780001,-0.5451198879327581,5.0
